ISIN,Ticker,Link,Large Cap,Mid Cap,Small Cap,Other Cap
INF209K01VA3,ADIT_BSL_LIQU_1UQ3S7,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-liquid-fund-direct-growth/15367,0%,0%,0%,0%
INF209KB1082,ADIT_BSL_PSU_10JHJEX,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-psu-equity-fund-direct-growth/40971,68.73%,20.69%,7.87%,0%
INF754K01GM4,EDEL_LIQU_DIR_OJUFLT,https://www.etmoney.com/mutual-funds/edelweiss-liquid-direct-growth/16139,0%,0%,0%,0%
INF109K013N3,ICIC_PRU_SHOR_1II1866,https://www.etmoney.com/mutual-funds/icici-prudential-short-term-fund-direct-plan-growth/15433,0%,0%,0%,0%
INF194K012A8,BAND_NIFT_50_1Y4SPBO,https://www.etmoney.com/mutual-funds/bandhan-nifty-50-index-fund-direct-plan-growth/16067,100%,0%,0%,0%
INF192K01BQ9,JM_AGGR_HYBR_LB5BGF,https://www.etmoney.com/mutual-funds/jm-aggressive-hybrid-fund-direct-growth/16703,42.3%,16.7%,18.34%,0%
INF174K01JZ1,KOTA_DEBT_HYBR_2BY43F,https://www.etmoney.com/mutual-funds/kotak-debt-hybrid-fund-direct-growth/17351,16.25%,4.13%,1.99%,0%
INF959L01GR6,NAVI_ELSS_TAX_146OV6D,https://www.etmoney.com/mutual-funds/navi-elss-tax-saver-nifty-50-index-fund-direct-growth/43624,100.03%,0%,0%,0%
INF204K01E54,NIPP_INDI_GROW_CEYFMY,https://www.etmoney.com/mutual-funds/nippon-india-growth-fund-direct-growth/15650,17.97%,69.93%,9.84%,0%
INF966L01986,QUAN_ELSS_TAX_KBGFAS,https://www.etmoney.com/mutual-funds/quant-elss-tax-saver-fund-direct-growth/16940,83.36%,6.86%,4.93%,0%
INF966L01689,QUAN_SMAL_CAP_1B5O3CE,https://www.etmoney.com/mutual-funds/quant-small-cap-fund-direct-plan-growth/16925,24.2%,3.63%,66.6%,0%
INF966L01556,QUAN_ABSO_DIR_RGF201,https://www.etmoney.com/mutual-funds/quant-absolute-fund-direct-growth/16916,68.83%,3.28%,0%,0%
INF966L01648,QUAN_LARG_AND_11NYPPT,https://www.etmoney.com/mutual-funds/quant-large-and-mid-cap-fund-direct-growth/16922,58.87%,34.32%,2.34%,0%
INF846K01U09,AXIS_ALL_SEAS_19WSVMZ,,,,,
INF209K01XA9,ADIT_BSL_MEDI_1579EY4,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-medium-term-plan-direct-growth/15477,0%,0%,0%,0%
INF209K01XK8,ADIT_BSL_SHOR_13YUUPD,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-short-term-direct-fund-direct-growth/15497,0%,0%,0%,0%
INF846K01DS2,AXIS_GOLD_DIR_1U5AB87,,,,,
INF846K01CX4,AXIS_LIQU_DIR_1LRVHN,,,,,
INF179K01WM1,HDFC_NIFT_50_10DMA9R,,,,,
INF247L01445,MOTI_OSWA_MIDC_1E5B8T2,https://www.etmoney.com/mutual-funds/motilal-oswal-midcap-fund-direct-growth/23602,16.62%,64.98%,0%,0%
INF966L01820,QUAN_LIQU_DIR_A3L2WA,https://www.etmoney.com/mutual-funds/quant-liquid-direct-fund-growth/16587,0%,0%,0%,0%
INF277K017Q3,TATA_ARBI_DIR_18P1ZST,https://www.etmoney.com/mutual-funds/tata-arbitrage-fund/38979,-0.43%,-0.21%,-0.05%,-0%
INF204K01K15,NIPP_INDI_SMAL_A3DVE4,https://www.etmoney.com/mutual-funds/nippon-india-small-cap-fund-direct-growth/15749,14.29%,13.79%,68.07%,0%
INF879O01027,PARA_PARI_FLEX_17J17OL,https://www.etmoney.com/mutual-funds/parag-parikh-flexi-cap-fund-direct-growth/19232,69.9%,3.03%,2.62%,0%
